Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Zip Code: 60062,Feb-12,$250K,-1.60%,-30.60%,95,3.30%,-2.10%,131,23.60%,-11.50%,291,0.00%,-20.30%,126,3,7,92.60%,0.10%,-1.00%
Zip Code: 60062,Mar-12,$250K,0.00%,-21.30%,86,-9.50%,-7.50%,200,52.70%,0.00%,312,7.20%,-17.90%,135,9,-13,92.70%,0.10%,-0.80%
Zip Code: 60062,Apr-12,$280K,12.00%,-10.70%,100,16.30%,3.10%,239,19.50%,1.70%,330,5.80%,-17.70%,155,20,-26,93.00%,0.30%,0.60%
Zip Code: 60062,May-12,$320K,14.30%,7.20%,133,33.00%,29.10%,284,18.80%,7.60%,340,3.00%,-17.30%,156,1,-24,93.10%,0.10%,0.40%
Zip Code: 60062,Jun-12,$350K,9.40%,7.70%,161,21.10%,17.50%,265,-6.70%,3.10%,316,-7.10%,-18.80%,106,-50,-26,94.30%,1.30%,1.40%
Zip Code: 60062,Jul-12,$386K,10.40%,7.30%,186,15.50%,24.80%,265,0.00%,18.80%,334,5.70%,-8.50%,92,-14,-15,94.20%,-0.10%,1.10%
Zip Code: 60062,Aug-12,$418K,8.10%,11.20%,204,9.70%,9.70%,220,-17.00%,9.50%,294,-12.00%,-14.00%,92,-1,-17,94.90%,0.70%,2.40%
Zip Code: 60062,Sep-12,$386K,-7.50%,5.80%,215,5.40%,30.30%,192,-12.70%,9.10%,260,-11.60%,-23.30%,101,10,-5,94.30%,-0.60%,2.00%
Zip Code: 60062,Oct-12,$363K,-6.00%,5.20%,216,0.50%,45.90%,161,-16.10%,-6.90%,244,-6.20%,-26.10%,102,1,-26,94.00%,-0.30%,2.00%
Zip Code: 60062,Nov-12,$318K,-12.50%,13.70%,189,-12.50%,92.90%,146,-9.30%,6.60%,215,-11.90%,-29.50%,103,1,-26,93.50%,-0.50%,1.10%
Zip Code: 60062,Dec-12,$321K,1.10%,23.50%,155,-18.00%,52.00%,131,-10.30%,24.80%,193,-10.20%,-31.60%,93,-10,-38,93.30%,-0.30%,1.00%
Zip Code: 60062,Jan-13,$287K,-10.70%,12.90%,140,-9.70%,52.20%,120,-8.40%,13.20%,204,5.70%,-29.90%,95,2,-28,94.80%,1.50%,2.20%
Zip Code: 60062,Feb-13,$319K,11.20%,27.60%,119,-15.00%,25.30%,146,21.70%,11.50%,215,5.40%,-26.10%,92,-3,-34,95.30%,0.60%,2.70%
Zip Code: 60062,Mar-13,$330K,3.40%,32.00%,113,-5.00%,31.40%,192,31.50%,-4.00%,225,4.70%,-27.90%,107,15,-29,95.40%,0.10%,2.70%
Zip Code: 60062,Apr-13,$330K,0.00%,17.90%,113,0.00%,13.00%,243,26.60%,1.70%,256,13.80%,-22.40%,105,-2,-51,94.50%,-0.90%,1.50%
Zip Code: 60062,May-13,$350K,6.10%,9.40%,155,37.20%,16.50%,274,12.80%,-3.50%,271,5.90%,-20.30%,103,-2,-53,94.70%,0.20%,1.60%
Zip Code: 60062,Jun-13,$375K,7.10%,7.10%,176,13.50%,9.30%,282,2.90%,6.40%,268,-1.10%,-15.20%,77,-26,-30,95.80%,1.10%,1.40%
Zip Code: 60062,Jul-13,$390K,4.00%,1.00%,211,19.90%,13.40%,290,2.80%,9.40%,288,7.50%,-13.80%,76,-1,-16,96.80%,1.10%,2.60%
